region,quarter,hpi,approvals,unemp_rate,emp_total,part_rate,emp_yoy_pct,cash_rate,income,wealth,q_dt,hpi_qoq,hpi_yoy,approvals_qoq,approvals_yoy,wealth_qoq,wealth_yoy,income_qoq,income_yoy
melbourne,2015Q2,198.3,17221.0,6.03073986666667,2984.71120483333,64.7995457666667,3.32631378501223,2.0,1098.48,941.0,2015-06-30,4.203888596952177,7.247160627366145,3.2124662870842036,18.23549605217989,0.0,9.673659673659674,0.0,-0.06550218340611869
melbourne,2015Q3,204.1,17518.0,5.9881286,2989.88013846667,64.5508082,2.72068137367745,,1098.48,941.0,2015-09-30,2.924861321230443,9.261241970021405,1.724638522733879,12.721189112669705,0.0,9.673659673659674,0.0,-0.06550218340611869
melbourne,2015Q4,207.3,17245.0,6.03526503333333,3014.5556244,64.7424794666667,2.5389680204231,,1098.48,941.0,2015-12-31,1.5678588926996584,9.566596194503173,-1.5583970772919287,-5.377229080932788,0.0,9.673659673659674,0.0,-0.06550218340611869
melbourne,2016Q1,209.0,15499.0,5.85378526666667,3046.05070036667,64.8654404,2.42752362884875,,1092.33,986.0,2016-03-31,0.8200675349734565,9.826589595375722,-10.12467381849812,-7.108181000899016,4.782146652497343,4.782146652497343,-0.5598645400917701,-0.5598645400917701
melbourne,2016Q2,214.6,17820.0,5.71224483333333,3079.93345243333,65.0879654666667,3.19033370618238,1.75,1092.33,986.0,2016-06-30,2.6794258373205704,8.21986888552697,14.975159687721785,3.478311364032294,0.0,4.782146652497343,0.0,-0.5598645400917701
melbourne,2016Q3,218.3,18803.0,5.8233179,3112.64343936667,65.51206,4.105960614292649,1.5,1092.33,986.0,2016-09-30,1.7241379310344973,6.95737383635473,5.516273849607178,7.335312250256876,0.0,4.782146652497343,0.0,-0.5598645400917701
melbourne,2016Q4,229.8,16634.0,5.90627236666667,3134.6391635,65.6860629666667,3.9834574000903,,1092.33,986.0,2016-12-31,5.267979844251025,10.85383502170767,-11.535393288305062,-3.543055958248764,0.0,4.782146652497343,0.0,-0.5598645400917701
melbourne,2017Q1,237.0,15645.0,5.99962453333333,3156.07070096667,65.8081341666667,3.61188999863846,,1115.79,1073.0,2017-03-31,3.1331592689294974,13.397129186602875,-5.94565348082241,0.9419962578230745,8.823529411764696,8.823529411764696,2.1477026173409186,2.1477026173409186
melbourne,2017Q2,244.1,14995.0,6.06637523333333,3180.8204354,66.0221150666667,3.27562216926989,,1115.79,1073.0,2017-06-30,2.9957805907173007,13.746505125815478,-4.154682007030996,-15.852974186307522,0.0,8.823529411764696,0.0,2.1477026173409186
melbourne,2017Q3,246.8,16996.0,6.0176729,3200.44204196667,66.0983790666667,2.82070864557054,,1115.79,1073.0,2017-09-30,1.1061040557148738,13.055428309665595,13.344448149383137,-9.610168590118596,0.0,8.823529411764696,0.0,2.1477026173409186
melbourne,2017Q4,253.2,22732.0,5.8075613,3214.57073446667,65.9352373333333,2.54994488352587,,1115.79,1073.0,2017-12-31,2.593192868719596,10.182767624020883,33.7491174393975,36.65985331249249,0.0,8.823529411764696,0.0,2.1477026173409186
melbourne,2018Q1,251.7,18588.0,5.47265523333333,3225.1529838,65.5608382666667,2.1888699391992,,1160.2,1097.0,2018-03-31,-0.5924170616113722,6.202531645569609,-18.229808199894425,18.8111217641419,2.236719478098781,2.236719478098781,3.980139632009605,3.980139632009605
melbourne,2018Q2,249.6,17514.0,5.1347316,3249.9581311,65.4849152333333,2.17358059356489,,1160.2,1097.0,2018-06-30,-0.8343265792610244,2.253174928308077,-5.777921239509364,16.79893297765922,0.0,2.236719478098781,0.0,3.980139632009605
melbourne,2018Q3,243.2,16227.0,4.79985506666667,3280.5382369,65.5593595,2.50266037888049,,1160.2,1097.0,2018-09-30,-2.564102564102566,-1.4586709886547866,-7.348406988694755,-4.5245940221228516,0.0,2.236719478098781,0.0,3.980139632009605
melbourne,2018Q4,237.3,15652.0,4.56582896666667,3310.40097283333,65.6796906666667,2.98112084886399,,1160.2,1097.0,2018-12-31,-2.4259868421052544,-6.279620853080559,-3.5434769211807438,-31.145521731479853,0.0,2.236719478098781,0.0,3.980139632009605
melbourne,2019Q1,228.3,14646.0,4.65046513333333,3334.5159361,65.8711696,3.39093844072924,,1175.63,1100.0,2019-03-31,-3.792667509481673,-9.29678188319427,-6.427293636595966,-21.20723047127179,0.27347310847767314,0.27347310847767314,1.3299431132563377,1.3299431132563377
melbourne,2019Q2,226.5,13807.0,4.8138488,3350.22542346667,65.9932800333333,3.08518720309574,1.25,1175.63,1100.0,2019-06-30,-0.7884362680683377,-9.254807692307686,-5.728526560152947,-21.16592440333448,0.0,0.27347310847767314,0.0,1.3299431132563377
melbourne,2019Q3,234.6,13284.0,4.82858886666667,3374.94238106667,66.2142815666667,2.87770290572427,1.0,1175.63,1100.0,2019-09-30,3.576158940397356,-3.5361842105263164,-3.7879336568407362,-18.13643926788685,0.0,0.27347310847767314,0.0,1.3299431132563377
melbourne,2019Q4,246.8,16463.0,4.78577156666667,3401.3419206,66.4108715666667,2.74712787100324,0.75,1175.63,1100.0,2019-12-31,5.200341005967601,4.003371260008426,23.931044866004214,5.181446460516237,0.0,0.27347310847767314,0.0,1.3299431132563377
melbourne,2020Q1,252.0,15814.0,5.0366477,3402.79450146667,66.3555006333333,2.04763050095136,0.375,1227.35,1145.0,2020-03-31,2.1069692058346856,10.381077529566362,-3.9421733584401375,7.974873685647954,4.090909090909101,4.090909090909101,4.399343330809846,4.399343330809846
melbourne,2020Q2,246.2,14941.0,6.5816868,3220.0582296,63.7498956666667,-3.88532643072046,,1227.35,1145.0,2020-06-30,-2.3015873015873045,8.697571743929355,-5.520424939926649,8.213225175635541,0.0,4.090909090909101,0.0,4.399343330809846
melbourne,2020Q3,245.5,17548.0,7.1799742,3216.77517683333,64.2426365666667,-4.68651569047955,,1227.35,1145.0,2020-09-30,-0.2843216896831757,4.646206308610412,17.448631283046655,32.09876543209877,0.0,4.090909090909101,0.0,4.399343330809846
melbourne,2020Q4,253.8,15194.0,6.86581723333333,3275.6003285,65.4359603666667,-3.69682304911642,0.1,1227.35,1145.0,2020-12-31,3.3808553971486743,2.8363047001620734,-13.414634146341465,-7.708194132296664,0.0,4.090909090909101,0.0,4.399343330809846
melbourne,2021Q1,266.8,17170.0,6.08719146666667,3333.87070703333,66.2248884666667,-2.02550563672378,,1211.96,1332.0,2021-03-31,5.122143420015757,5.873015873015874,13.005133605370546,8.574680662703926,16.331877729257638,16.331877729257638,-1.2539210494153963,-1.2539210494153963
melbourne,2021Q2,283.0,18806.0,5.08084603333333,3363.25535003333,66.2125348333333,4.44703512244005,,1211.96,1332.0,2021-06-30,6.071964017990994,14.947197400487422,9.52824694234129,25.86841576869019,0.0,16.331877729257638,0.0,-1.2539210494153963
melbourne,2021Q3,293.2,18588.0,4.56825333333333,3383.7711967,66.3102656,5.19141098418514,,1211.96,1332.0,2021-09-30,3.6042402826855113,19.429735234215872,-1.1592045091991965,5.9266013220879765,0.0,16.331877729257638,0.0,-1.2539210494153963
melbourne,2021Q4,307.983221352647,17102.0,4.37316056666667,3406.87888646667,66.5307315333333,4.00777093665705,,1211.96,1332.0,2021-12-31,5.042026382212472,21.348786978978307,-7.9944049924682625,12.557588521784924,0.0,16.331877729257638,0.0,-1.2539210494153963
melbourne,2022Q1,309.269862778945,15163.0,4.10841503333333,3441.43886056667,66.7205394333333,3.22652445118528,,1191.54,1441.0,2022-03-31,0.41776348096080884,15.918239422393189,-11.337855221611504,-11.688992428654633,8.183183183183186,8.183183183183186,-1.6848740882537405,-1.6848740882537405
melbourne,2022Q2,305.997829023869,15324.0,3.7699516,3470.33638776667,66.6840082666667,3.18385095952565,0.6,1191.54,1441.0,2022-06-30,-1.057986615855544,8.12644135119045,1.0617951592692743,-18.515367435924702,0.0,8.183183183183186,0.0,-1.6848740882537405
melbourne,2022Q3,298.372243407794,15228.0,3.57792426666667,3491.75068926667,66.5544775,3.19109911071922,1.85,1191.54,1441.0,2022-09-30,-2.4920391234148798,1.7640666465873034,-0.6264682850430692,-18.076178179470624,0.0,8.183183183183186,0.0,-1.6848740882537405
melbourne,2022Q4,299.898253045951,16477.0,3.695301,3521.2136319,66.6863038666667,3.35599677134142,2.85,1191.54,1441.0,2022-12-31,0.5114449054402614,-2.625132717031542,8.201996322563708,-3.6545433282657025,0.0,8.183183183183186,0.0,-1.6848740882537405
melbourne,2023Q1,300.067544516458,11630.0,3.7992524666666703,3566.5947665,67.0375068333333,3.6367319311529296,3.475,,1470.0,2023-03-31,0.056449635430544376,-2.975497896820467,-29.416762760211203,-23.30013849502077,2.012491325468435,2.012491325468435,0.0,0.0
melbourne,2023Q2,302.678222313272,12053.0,3.7438339666666702,3612.4533358,67.3134556,4.09519228551767,3.975,,1470.0,2023-06-30,0.8700300464087096,-1.0848464909658073,3.637145313843515,-21.34560167058209,0.0,2.012491325468435,0.0,0.0
melbourne,2023Q3,304.556858877558,13998.0,3.7396043333333298,3639.6274958,67.3172594333333,4.2350333598528,,,1470.0,2023-09-30,0.6206712032098549,2.072785122076959,16.137061312536293,-8.07722616233254,0.0,2.012491325468435,0.0,0.0
melbourne,2023Q4,311.555572067211,13873.0,3.9058656666666702,3651.46513256667,67.1799967,3.6990513579372,4.35,,1470.0,2023-12-31,2.2979988746425706,3.887091339433013,-0.8929847121017298,-15.803847787825454,0.0,2.012491325468435,0.0,0.0
melbourne,2024Q1,309.757619808224,11275.0,4.0650989,3670.2423311,67.1826286666667,2.90606506726057,,,1584.0,2024-03-31,-0.5770887829280036,3.229298026009775,-18.72702371513011,-3.0524505588994,7.755102040816331,7.755102040816331,0.0,0.0
melbourne,2024Q2,310.287711637148,12635.0,4.3750922,3702.74283176667,67.6364522,2.49939549590532,,,1584.0,2024-06-30,0.17113116676588103,2.5140524698867184,12.062084257206207,4.828673359329638,0.0,7.755102040816331,0.0,0.0
melbourne,2024Q3,,14667.0,4.52892653333333,3740.1515585,68.1421716,2.76193272020286,,,1584.0,2024-09-30,0.0,1.8817020837130327,16.08231104075979,4.779254179168446,0.0,7.755102040816331,0.0,0.0
melbourne,2024Q4,,15178.0,4.4990064,3755.26789193333,68.0751352666667,2.84277011002709,,,1584.0,2024-12-31,0.0,-0.406945194929631,3.4840117270062088,9.406761334967207,0.0,7.755102040816331,0.0,0.0
